tweet_id,time,hashtags,type,faves,retweets,text,mentions
290958796921114625,1358204957,"[""sandyhook""]",rt:290853750338379777,0,47,"RT @ShimritS: One month after #SandyHook shooting, @andersoncooper anchors @AC360 special ""United in Newtown"" tonight at 8 &amp;10pm ET  ...","[32513657, 15224867, 227837742]"
357296642543714304,1374021132,"[""jurorb37"", ""ac360""]",rt:357293174097580033,0,226,"RT @AC360: ""I'm sure there were some fabrications, enhancements but I think pretty much it happened the way George said it happened.""-#Juro…",[227837742]
501512166072397825,1408404792,"[""michaelbrown"", ""ac360"", ""ferguson""]",rt:501504779055816704,0,214,RT @AC360: What can #MichaelBrown's autopsy tell us about his final moments? #AC360 live from #Ferguson 8-10p ET @CNN. http://t.co/xJkXeyIi…,"[227837742, 759251]"
644922816433901568,1442596556,"[""minneapolis""]",,133,45,We are in #Minneapolis oct 10! It's going to be fun! Info at http://t.co/k3F5f8e5nO https://t.co/N24pGPCJxU,[]
389921107979288576,1381799411,[],,22,24,Join me for a live online chat at 9:15 est. just go to http://t.co/rW7Hwi6iO9,[]
331570624801669121,1367887571,[],,172,676,incredible. 3 women found alive in a home in Cleveland after they went missing years ago. One has reportedly been missing 13 years @AC360,[227837742]
278649653250121728,1355270229,"[""dolphins"", ""ac360""]",rt:278645140195799040,0,210,RT @AC360: Slain and mutilated #dolphins are mysteriously washing up along the Gulf Coast. @edlavaCNN reports at 8 and 10pm ET. #AC360,"[227837742, 22149851]"
378332690325733376,1379036517,"[""ac360later"", ""syria""]",,27,27,Join us for #AC360Later at 10pm. Latest on NJ boardwalk fire and #Syria negotiations. Also the untold stories of the day.,[]
370703045824618496,1377217468,"[""antoinettetuff""]",rt:370702420155695104,0,372,"RT @AC360: ""God has a way of showing you what's really in you"" #AntoinetteTuff on school standoff",[227837742]
474697455435776001,1402011667,"[""ac360""]",,105,189,Shootings on Seattle college campus. suspect said to be in custody. Details #AC360 8p,[]
580848167371042816,1427319969,[],r:2485846689,81,12,fun! RT @lollybock: @andersoncooper @Andy I have tickets to the June show in ATL! Anniversary gift from my hubby. Hope to hear you giggle😃,"[2485846689, 15224867, 48100887]"
280896264105779200,1355805862,[],,191,805,I may rethink using Instagram rt @nytimes: The only way to opt out of the new @Instagram terms is to not use Instagram ttp://nyti.ms/Ze0eWA,"[807095, 180505807]"
466732780081393664,1400112740,"[""donaldsterling"", ""clippers"", ""ac360""]",rt:466731022965817344,0,24,"RT @AC360: ""The advertisers are all coming back, let's not be crazy"" #DonaldSterling on the future of the #Clippers. #AC360",[227837742]
421480561350557696,1389323771,[],,470,120,I'm on @LateShow with David Letterman tonight. Always fun!,[1436539482]
387726907258978304,1381276272,"[""kendrickjohnson"", ""ac360""]",rt:387724796823228416,0,32,RT @AC360: Was high school student #KendrickJohnson's death an accident or murder? Exclusive new info on the case tonight on #AC360,[227837742]
323888677707202562,1366056052,[],rt:323888410932674561,0,850,"RT @cnnbrk: Photos from scene show blood on sidewalk, debris. This is a developing situation. http://t.co/rCfe7P4JyR",[428333]
502810056833130497,1408714233,[],r:2740734492,8,0,@gpurvisBt1 I never said that,[2740734492]
323536651852865536,1365972123,[],r:319160509,32,32,I'm looking forward to being at Smith as well! See you there. RT @frelyya: @andersoncooper looking forward to seeing you tonight at Smith.,"[319160509, 15224867]"
334848460773814272,1368669068,[],,32,52,"Am live at 10pm from Boston with latest on IRS scandal, Benghazi emails, Cleveland kidnappings, and Boston bombing investigation. @AC360",[227837742]
439202726183198720,1393549064,"[""ukraine"", ""ac360""]",rt:439200957042524160,0,44,"RT @AC360: What's stopping 150,000 Russian troops from crossing the border into #Ukraine? The latest tonight on #AC360. 8p on @CNN","[227837742, 759251]"
363458966686535680,1375490345,[],,356,481,I don't get it when govt officials just repeat pre-planned talking points. Taxpayers whose money is being wasted deserve answers.,[]
409127983354753024,1386378687,"[""mandela"", ""ac360""]",,79,64,Coming up in about a minute @DrMayaAngelou on #Mandela #AC360,[146099195]
292071586419326976,1358470267,"[""lancearmstrong"", ""oprah""]",,27,123,"If you watch #LanceArmstrong with #Oprah, tune in right after to @AC360 and our panel will discuss how honest he really was @AC360 10pm","[227837742, 227837742]"
427519131735564289,1390763478,[],,110,62,".@AndrewTomPaul shooters weren't bullied kids who ""snapped."" One was a psychopath. they planned it for years. Wanted to blow up the school",[2663926945]
323874119311560704,1366052581,[],rt:323869789816778753,0,15,"RT @ShimritS: EXCLUSIVE: In His 1st TV Invu, Robbie Rogers speaks to @andersoncooper ""I’m glad it did it this way. I am happy” http://t. ...","[32513657, 15224867]"
540307258538995712,1417654263,"[""ericgarner"", ""ac360""]",rt:540306837292457984,0,364,RT @AC360: Atty Gen Holder urges protesters to remain peaceful. Latest on #EricGarner decision on a 2hr #AC360 beginning at 8p http://t.co/…,[227837742]
291010600455241730,1358217308,"[""sandyhook""]",,103,169,Tonight on @AC360 at 10pm est @KennyChesney performs Amazing Grace in tribute to all those who lost their lives in the #SandyHook shootings,"[227837742, 45900567]"
496675969022033921,1407251753,[],rt:496666288123838464,0,211,RT @20committee: Highest-ranking US soldier to die in America's longest war...was murdered today by our own side. What a sad metaphor. http…,[635608354]
371330190599004160,1377366991,[],,205,82,"Besides @BreakingBad_AMC, my new favorite shows are @TheFallTV, @LutherBBC, and @Broadchurch.","[25399731, 1092028038, 1603243152, 333475978]"
411575117060513792,1386962129,[],,402,262,So now all of a sudden Instagram has direct messaging? When did this happen?,[]
408747199582208000,1386287901,"[""mandela"", ""ac360""]",,216,159,It was critical that as young man #Mandela began to have feelings of kinship with all Africans not just other Xhosa. More on #AC360 8/10p,[]
372888978728693760,1377738635,"[""mayaangelou""]",rt:372887452530130944,0,65,"RT @hendrey: Every American should watch @AndersonCooper's wonderful interview w/#MayaAngelou, posting later tonight on http://t.co/GxZfdb3…","[18679932, 15224867, 227837742]"
379746184174530560,1379373520,[],,21,75,CNN's Evan Perez reports FBI investigators have ruled out any other shooters. All latest info in @AC360 8/10pm,[227837742]
585601977284964353,1428453366,[],r:213711392,34,4,"@WildCougConfess Im trying to ""spin this?"" Are you kidding? I just spent 35 minutes discussing this from every conceivable angle.. Please.",[213711392]
